"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"tutorial_loot2","There are hundreds of types of items from weapons, to food and clothes to crafting material.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","Ve hře se nachází stovky druhů předmětů a zbraní, od jídla přes oblečení až po výrobní materiály.","Es gibt hunderte Gegenstände, von Waffen über Nahrung und Kleidung bis hin zu Crafting-Materialien.","В игре сотни различных предметов: от оружия, еды и одежды до материалов для создания предметов.","Dostępne są setki przedmiotów – od broni przez żywność i ubrania po materiały używane w rzemiośle.","There are hundreds of types of items from weapons, to food and clothes to crafting material.","Ci sono centinaia di tipi di oggetti, dalle armi al cibo, dai vestiti al materiale di fabbricazione.","Hay cientos de objetos diferentes, ya sean armas, comida, ropa o materiales de fabricación.","Il existe des centaines d'objets différents : armes, aliments, vêtements ou encore matériaux de fabrication...","遊戲中的物品類型超過百種，從武器到食物，服裝到製造材料，應有盡有。","アイテムには武器、食料や服、クラフティング材料など、何百種類もある。","Existem centenas de tipos de itens, desde armas, alimentos e roupas até materiais de criação.","从武器到食物和衣服，再到手工材料，有成千上百种物品。",
"str_bohemia_interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive",
"str_widget_textwidget00","HANDS EMPTY","HANDS EMPTY","PRÁZDNÉ RUCE","HÄNDE FREI","ПУСТО","PUSTE RĘCE","HANDS EMPTY","MANI VUOTE","MANOS VACÍAS","MAINS VIDES","空手","手ぶら","MÃOS VAZIAS","空手",
"str_wgt_pnl_load_mission_wgt_missions_main_panel_wgt_pnl_missions_wgt_btn_mission_play0","Play Mission","Play Mission","Hrát misi","Mission spielen","Запустить задание","Wykonaj misję","Play Mission","Gioca missione","Jugar la misión","Jouer la mission","進行任務","任務をプレイする","Jogar missão","玩任务",
"str_wgt_pnl_load_mission_wgt_missions_main_panel_wgt_missions_panel_title_bgt_missions_title0","Mission Loader","Mission Loader","Načítač mise","Mission laden","Загрузка задания","Wczytywanie misji","Mission Loader","Caricatore missione","Buscador de misiones","Chargement mission","任務讀取器","任務ローダー","Carregador de missão","任务加载器",
"str_wgt_pnl_load_mission_wgt_missions_main_panel_wgt_btn_mission_close0","Close","Close","Zavřít","Schließen","Закрыть","Zamknij","Close","Chiudi","Cerrar","Fermer","關閉","閉じる","Fechar","关闭",
"str_titlescreenlayout_text0","Please reconnect and press","Please reconnect and press","Ovladač znovu připoj a stisknutím","Bitte verbinde den Controller erneut und drücke","Подключите контроллер и нажмите","Połącz się ponownie i wciśnij","Please reconnect and press","Riconnetti il controller e premi","Vuelve a conectarlo y pulsa","Reconnectez-la et appuyez sur","請重新連線並按","再接続したら次のボタンを押す：","Reconecte e aperte","请重新连接并按下",
"str_titlescreenlayout_inputprompttext0","Press Button","Press Button","Stiskni tlačítko","Drücke Taste","Нажмите кнопку","Wciśnij przycisk","Press Button","Premi pulsante","Pulsa el botón","Appuyer sur la touche","按鍵","ボタンを押す","Aperte o botão","按下按钮",
"str_titlescreenlayout_caption0","CONTROLLER DISCONNECTED","CONTROLLER DISCONNECTED","OVLADAČ ODPOJEN","CONTROLLER GETRENNT","ГЕЙМПАД ОТКЛЮЧЕН","ODŁĄCZONO KONTROLER","CONTROLLER DISCONNECTED","CONTROLLER DISCONNESSO","MANDO DESCONECTADO","MANETTE DÉCONNECTÉE","控制器連線中斷","コントローラーが接続解除しました","CONTROLE DESCONECTADO","控制器已断开连接",
"str_tileframe_textwidget0","Loading text...","Loading text...","Načítání textu...","Text laden …","Загрузка текста...","Wczytywanie tekstu...","Loading text...","Caricamento testo...","Cargando texto...","Chargement du texte...","正在讀取文字……","テキストを読み込み中...","Carregando texto...","正在加载文本...",
"str_textinputdialogroot_windowlabel0","LABEL","LABEL","JMENOVKA","MARKIERUNG","МЕТКА","ETYKIETA","LABEL","ETICHETTA","ETIQUETA","ÉTIQUETTE","標籤","ラベル","RÓTULO","标签",
"str_textinputdialogroot_secondarylabel0","Secondary:","Secondary:","Sekundární:","Sekundär:","Дополнительная:","Drugorzędna:","Secondary:","Secondaria:","Secundaria:","Secondaire :","副手：","副：","Secundário:","次要：",
"str_textinputdialogroot_primarylabel0","Primary:","Primary:","Primární:","Primär:","Основная:","Podstawowa:","Primary:","Primaria:","Principal:","Primaire :","主手：","主：","Primário:","主要：",
"str_textinputdialogroot_messagetext0","Dialog text","Dialog text","Dialogový text","Dialogtext","Текст диалогового окна","Dialog tekstowy","Dialog text","Testo finestra dialogo","Texto de diálogos","Dialogue","對話文字","ダイアログテキスト","Texto de diálogo","对话框文本",
"str_textinputdialogroot_buttonleave0","Leave","Leave","Odejít","Verlassen","Покинуть","Opuść","Leave","Lascia","Salir","Quitter","離開","退室する","Sair","离开",
"str_onlineinfo_onlinetextwidget0","ONLINE","ONLINE","ONLINE","ONLINE","ОНЛАЙН","ONLINE","ONLINE","ONLINE","ONLINE","EN LIGNE","線上","オンライン","CONECTADO","在线",
"in_alphabetical_order","In alphabetical order","In alphabetical order","V abecedním pořadí","In alphabetischer Reihenfolge","В алфавитном порядке","W porządku alfabetycznym","In alphabetical order","In ordine alfabetico","Por orden alfabético","Par ordre alphabétique","以字母排序","アルファベット順","Em ordem alfabética","按字母顺序",
"project_lead","Project Leads","Project Leads","Vedoucí projektu","Projektleitung","Руководители проекта","Kierownicy projektu","Project Leads","Capi progetto","Jefes de proyecto","Responsables de projet","專案負責人","プロジェクトリーダー","Líderes de projeto","项目主管",
"additional_artists","Additional Artists","Additional Artists","Pomocní grafici","Zusätzliche Künstler","Дополнительные художники","Dodatkowi graficy","Additional Artists","Grafici aggiuntivi","Diseñadores artísticos adicionales","Infographistes supplémentaires","額外美術師","その他のアーティスト","Artistas adicionais","其他美工",
"production","Production","Production","Produkce","Produktion","Производство","Produkcja","Production","Produzione","Producción","Production","製作","制作","Produção","制作",
"additional_art_lead","Additional Art Lead","Additional Art Lead","Pomocný hlavní grafik","Leitung der zusätzlichen Künstler","Дополнительный ведущий художник","Dodatkowy nadzór grafiki","Additional Art Lead","Capo grafica aggiuntivo","Jefe de diseño artístico adicional","Responsable infographie supplémentaire","額外美術負責人","その他のアートリーダー","Líder de arte adicional","其他主美",
"additional_programmers","Additional Programmers","Additional Programmers","Pomocní programátoři","Zusätzliche Programmierer","Дополнительные программисты","Dodatkowi programiści","Additional Programmers","Programmatori aggiuntivi","Programadores adicionales","Programmeurs supplémentaires","額外程式設計師","その他のプログラマー","Programadores adicionais","其他程序员",
"lead_designer","Lead Designer","Lead Designer","Hlavní designer","Designleitung","Ведущий дизайнер","Nadzór projektu","Lead Designer","Capo progettista","Jefe de diseño","Responsable conception","首席設計師","主任デザイナー","Líder de design","首席设计师",
"scripters","Scripters","Scripters","Skriptéři","Skripter","Сценаристы","Koderzy","Scripters","Scripter","Escritores de scripts","Scripteurs","腳本師","ストーリーライター","Scripters","脚本设计师",
"creative_directors","Creative Directors","Creative Directors","Tvůrčí ředitelé","Kreativdirektoren","Креативные директоры","Dyrektorzy kreatywni","Creative Directors","Direttori creativi","Directores creativos","Directeurs créatifs","創意總監","クリエーティブディレクター","Diretores de criatividade","创意总监",
"lead_scripter","Lead Scripter","Lead Scripter","Hlavní skriptér","Skriptleitung","Ведущий сценарист","Główny koder","Lead Scripter","Capo scripter","Jefe de escritores de scripts","Responsables des scripts","首席腳本師","主任ストーリーライター","Líder de scripters","首席脚本设计师",
"additional_quality_assurance_leads","Additional Quality Assurance Leads","Additional Quality Assurance Leads","Vedoucí dodatečné kontroly kvality","Leitung der zusätzlichen Qualitätssicherung","Дополнительные специалисты по обеспечению качества","Nadzór dodatkowej QA","Additional Quality Assurance Leads","Capi controllo qualità aggiuntivi","Jefes de control de calidad adicionales","Responsable assurance qualité supplémentaire","額外品保負責人","その他の品質保証リーダー","Líderes de controle de qualidade adicionais","其他质量保证主管",
"designer","Designers","Designers","Designéři","Designer","Дизайнеры","Projektanci","Designers","Progettisti","Diseñadores","Concepteurs","設計師","デザイナー","Designers","设计师",
"programmers","Programmers","Programmers","Programátoři","Programmierer","Программисты","Programiści","Programmers","Programmatori","Programadores","Programmeurs","程式設計師","プログラマー","Programadores","程序员",
"additional_quality_assurance_testers","Additional Quality Assurance Testers","Additional Quality Assurance Testers","Testeři dodatečné kontroly kvality","Tester der zusätzlichen Qualitätssicherung","Дополнительные тестеры по обеспечению качества","Dodatkowi testerzy QA","Additional Quality Assurance Testers","Tester controllo qualità aggiuntivi","Testers de control de calidad adicionales","Testeurs assurance qualité supplémentaire","額外品保測試員","その他の品質保証テスター","Testadores de controle de qualidade adicionais","其他质量保证测试人员",
